period,홍대,연남,이태원,익선,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2020-08-13,14732.569668897268,10694.001820222395,6254.032755717182,12403.027353719528,7932.79344788307,8480.65526916422,4886.3007655543115,4341.280296403583,9264.818599557826,4013.7931730479327,3678.180592282466,1602.8460252023785,3699.4266508293995,6593.733894879895,5914.7739319989305,17331.214247284224
2020-08-14,16131.16378549605,11663.631641885053,6561.768491246963,12717.535637016705,7480.613244416827,8956.139507863052,5015.9448409554825,4588.60698575287,10036.132719306868,3963.695716645909,3877.630910770134,1702.2084565683517,4091.913316977095,6591.7194311583335,5842.581856233857,18465.787692454986
2020-08-15,15506.321220822188,12134.911025552674,6998.075484376953,12561.289120378073,7057.637800629997,9145.333710337383,5082.274848476318,4452.878834198744,9615.77936407161,4171.097834790088,3945.4643634405247,1474.3773212482736,3718.548001526233,7735.172832206711,5973.932169641572,15642.970768895277
2020-08-16,14737.595172975061,12606.190409220297,6749.047667440801,12366.737643926888,6155.291923201215,10023.228879899663,5118.455248072759,4389.539523921513,9028.496238612242,4520.777066956065,4435.483982650527,1479.395618303834,3728.6111369963396,6704.555675179584,5826.538751618487,12633.581972904205
2020-08-17,12062.148858999255,10066.29952108766,5046.334852192544,8989.771778474596,5006.209975688495,8589.765289505764,4555.655678627312,3698.8346999434402,8172.710726064119,3286.38131557102,3535.427059645212,1314.7953252155792,3353.234239429179,4644.32421371715,5396.391773512809,11715.839709869679
2020-08-18,8495.222140636703,6651.037797258773,3590.6532351201554,6122.884704856206,4368.726199377551,5686.803345301128,3100.4185787045144,3161.9556081747382,6201.686476448464,2179.2309074867912,2039.0460846779583,1299.7404340488988,2646.7613752964953,3636.8777687569495,3803.140555837833,9830.935829859383
2020-08-19,7564.498785429343,5572.110666571098,3068.2901416616583,5190.439927715699,3931.6525999393675,5426.537549726865,2983.8388621066997,3059.4066013792403,6100.11856289077,1743.383459089246,1722.1534107921684,1282.678149227053,2781.6140087881704,3351.7742216594015,5841.5775040668195,9143.13293125648
2020-08-20,6891.3600260925405,5472.843224630827,3216.0948827324796,4641.052353417808,3406.9623542132354,5304.413459970877,2784.848839544191,2976.963877814784,5569.148131528474,1667.2364233383316,1601.6744676210758,1289.7038399377786,2606.5053501569923,2837.976490937009,3099.264027120193,7952.090089655148
2020-08-21,7221.3925822086585,5129.912974497171,3074.3715859590325,4534.198474059813,3375.7418814052644,5154.259516650549,2768.7696287092913,2801.02019711041,5332.825770582888,2579.0075960547924,1600.6610158705435,1222.4585845603315,2625.6267008538257,2853.084968848727,2785.4286099738974,8083.190746204295
2020-08-22,6782.691753975347,5185.060401785141,3112.8385529002553,5860.79193386954,2909.462338662813,4815.915151857602,2780.8290368354665,2622.060499854176,5126.670420406419,1648.1991365255253,1640.1467035288313,1037.7851032498365,2326.73346444446,2455.1451777299285,2909.7598282368767,6955.679899253031
2020-08-23,5735.251983624023,5320.428628559243,2923.526122739524,4252.95322316687,2586.189534561293,5185.290967773411,2636.109613667619,2286.260535180794,4528.325117003652,1810.5143885080079,2064.3572619170905,916.3420900064573,2088.224265744349,2355.4073271677935,2593.9157067565043,5660.757224106775
2020-08-24,5498.803850889413,4141.2313283255635,2233.1356541611062,3572.52116455491,2757.3925845049303,4210.296066282314,2257.2247190180033,2301.3406179400954,4208.537870946011,1250.4262617535928,1350.5895987308204,965.5215508168294,1953.369890623136,2011.8668150690978,2339.2385272528495,5873.551738993996
2020-08-25,5314.67231607998,4222.449673362621,2163.2906327578294,3446.514805290636,2844.001966041028,4159.243569626256,2231.094913802333,2201.807627696458,4369.438001661858,1224.3766824047027,1293.8928128804064,1060.8691948724716,2105.3322926953456,1993.732262306077,2546.7907450774346,6159.966777721273
2020-08-26,4449.346542404667,3633.8537508515146,2017.519145653901,3113.8578647386134,2453.2542598140203,3481.5530081279726,1979.8452808084835,2144.500350522947,3792.210546458862,1046.0309200536724,1104.5669652883914,1010.6862243168705,1836.6302043258381,1790.2320130076425,2267.042661479599,5576.043712663295
2020-08-27,4731.082903857845,3672.960127475144,2139.001490774943,3350.752405759247,2659.705657948178,3540.6123637258497,1954.7204262699943,2323.460047779181,4009.4233712717814,1066.069058014357,1093.430298468415,925.3748002076412,1853.738231276835,1920.1911986621722,2449.531555226358,5331.979151792674
2020-08-28,5626.583711506829,4055.9994818381647,2094.453079536346,3609.8184993575064,2788.613057312901,3826.904349039674,2067.280340159084,2307.372651043816,4445.866739578623,1200.3288053515691,1176.4504574822845,1001.6531399509793,2110.3638604303987,2120.674131647223,2636.0302776249155,5910.867369053284
