홍대,연남,이태원,익선,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
33744.44776631452,12816.76061539705,18099.03766270471,18763.8104222478,3663.767520941118,2777.8343078008033,3009.968667322369,5406.996262917386,24995.80473521172,6848.298641353172,2481.4811930088767,1616.897032459123,7180.47211552844,24140.43110979721,27115.31788530584,38195.24056980299
35756.813665611415,15973.321207973944,19312.79869292342,21109.538631281262,3752.3914319809182,2748.8045714133978,3029.063817797771,5889.5840940644375,28603.98899068786,7382.335077258384,2389.3500148498865,1547.644757591218,7192.548574744382,25023.961760267564,28775.74320791888,41135.04550920302
42518.38362945543,15081.904139558545,19203.460918793822,21235.54499054554,3272.0125499622586,2905.9654908524794,3443.1230737576875,6079.602024896131,29774.533914165437,7883.307529778311,2488.56782030535,1595.8203344916537,8819.85406653705,22526.49970657795,32741.319724236306,40613.64370251659
43219.69455763709,16598.015324291475,22550.16031309341,20243.62752366628,3634.562761261705,2913.9723497942996,3448.147827143594,6544.093756732021,27357.015329293517,8359.231254097227,2626.2591174947775,1772.464615346194,8949.676873923208,20660.70778693588,36960.57285789852,48259.147972929575
48358.28348193441,17637.83607835552,24968.560207084764,20639.78765399689,3254.8926000553515,2958.017870331603,4043.106905867799,7113.144679283288,27978.491496270108,10267.938853113525,3405.8358415027915,1761.4245114898447,9078.49301943645,24556.50545367903,37900.081775027866,47267.78518605499
45025.802031177656,14755.017531116633,19527.40773324883,17042.06445711742,1992.0098572059699,2761.81864082784,3382.8227702999393,4884.191421276005,26227.694891221505,6494.611781595057,2709.279276508647,1596.8238442368827,6883.59220286491,19296.626815686832,26734.300783205133,35773.81150611892
41368.31352838257,12041.657358219401,17745.74604775454,17750.721423083818,2764.4422541430345,3267.3344478264676,2558.7251486977884,4758.518633353522,27329.863138278535,6063.774923437839,2473.381113961871,1498.4652967808458,6376.379174165753,23921.813624049137,29133.698110259484,41179.41745961673
39036.98585494531,14697.86205758979,19580.034207545083,17576.33005154887,3220.6515166166823,3942.021462676907,3104.4383814132384,6487.792312190491,29135.961226430234,7457.48126186142,2785.211552399834,1635.9667109361346,6867.490837786831,17504.380338957624,23059.497484273896,46159.43438334009
48694.35397944618,17871.469019464163,18195.205080057767,17109.601949294374,3203.531566709775,3541.6141956382385,3232.0736430690044,7854.118914699169,26212.61138583695,8540.583792892516,2998.836381306658,1861.7904526010473,7614.219727059019,15382.698975449619,27684.83483412283,47923.31358026106
43009.40105561392,19536.986617451472,16105.807659033695,18018.863746488765,3536.8758347049534,4146.231449301136,3541.612590557282,6549.11995720376,23391.83596648838,9030.536325284222,2897.592928176339,1677.1169712905519,9221.397206281934,16399.21050715685,27769.06018585148,51265.51083795015
45142.51844632162,18033.910891593085,20256.26516876847,18571.27419581653,3535.868569953102,4509.60212101058,4049.136609930886,6458.6350166157035,26579.666866729265,9738.910895948327,3676.15620043382,1937.064908434449,9703.450654676284,21344.767115550927,28520.061676248184,50800.59098342445
54106.62378566761,19109.827248436155,26931.419624475515,21137.7635386357,4367.718934625698,5762.880199784357,4870.220467110452,7934.5499729996645,33271.09458582751,11908.122734454777,4618.734143044184,2125.753177055275,9331.092001098341,25690.889388711417,30507.36383414631,54057.063993391544
44425.10389558411,16904.847380618703,21830.40672641652,17521.895486859914,3557.0175788674146,4289.376467413387,4179.786723618196,6615.476765376935,27659.70605459255,9480.408358753933,3643.7583958982145,1904.9477324459228,8115.3927845206645,20601.272348611874,25732.628151948393,46662.680604203604
40856.16697559044,13285.029225220063,20580.19366562018,15242.697144993443,3042.397613410086,4211.297898194703,3199.913046181289,5539.706916575569,24074.65266269023,7454.474485417162,2888.4806532050093,1565.7105521582928,7529.684512547414,15827.987422563052,22503.014373579343,49169.83391560968
43855.607904286706,12951.12611456542,18218.48675385886,15986.636195742516,3572.122999270619,4348.437772100588,3417.9982192191983,6042.402512297744,27566.185499224117,7102.791439455115,2591.836921110525,1721.2777608806566,8422.337574283838,17593.03425978221,27100.275342849338,46067.658273677116
39839.92201303295,13178.742690039655,19486.907512340716,16746.704851367995,3926.61627618011,4120.203310472251,3540.6076398801,5806.135537868,29750.401246211535,7258.094398901515,2846.970573698075,1810.6035981355094,7958.398814713401,17216.250717008774,25306.491002494513,49435.07371540863
45395.07020161208,13515.656574538907,19452.488735729974,16812.230895883557,3637.583371892404,3748.825779820989,3211.9735419164217,5218.987034661489,25724.88315856122,7773.093547993922,3138.552070344733,1607.8643222579392,6677.285734320956,18749.58167502074,28252.350658622105,45422.212130795946
38687.83437382667,13868.614100729905,19265.209559536135,16552.153374916812,4441.236241637439,3852.9305387792347,3365.738608787858,5353.709353583634,25232.127096157306,7907.353295331133,3199.29889571865,1675.1095776353861,7033.541281191283,20249.669602357968,27103.28460934227,42960.44778394717
20546.307554162526,13669.071307188819,22996.578623247948,18851.511821699518,3495.5850816281795,3851.9306559561696,3624.022896521976,5316.509840985246,27757.252640709085,8616.73082864343,3565.8004723321715,1427.205254093068,6896.675323953771,23181.340552692425,26727.2816880604,29770.16356898921
12741.325559731724,14204.525257623423,19453.496203911767,13006.84569034785,2146.0941408675553,3331.3990648076438,2612.9946604834913,3523.896851871047,21829.096386477555,7768.082957753594,2961.376341323226,1202.3853963380916,4709.82606073604,19835.60972219771,20363.30840684748,24828.46673373857
12150.693105298371,13287.034680431532,18620.37497037811,11163.127668351559,2002.0813210996278,3180.24523866425,2185.86995811126,3066.4444671149417,14594.629550386588,7923.385917199993,2520.965624840955,912.3273026961268,4755.111911981058,20670.78448481265,19046.796006277404,19815.17084720493
28286.89706787683,14197.506164383285,26271.39974217736,17294.07717564597,4133.0688579391235,3643.7172398610296,3940.59758635948,4199.520111745735,20706.81679890778,12452.180350840645,4567.100848467805,1371.0004767366775,7040.586172672173,23587.342577966432,23691.185727234642,25987.247626673234
41233.48328905163,16182.891277572371,25776.384830453742,19694.239949368388,3817.8518046027034,4356.444631042407,4187.826329035646,6166.066597644429,22863.880354880213,13248.726951532386,5497.52992833387,1346.912501204106,7745.047454688558,24614.938039411216,25588.244000418246,31235.52400330095
28829.22599114494,11783.958954573143,21893.162835340634,17752.736673103736,3844.035953651418,4217.303042401068,3365.738608787858,6826.608293415734,22001.053991829853,9256.975730241207,3974.8255802031604,1412.1503629263875,7659.505578304036,22211.170445119045,25397.73544936789,32910.65929939451
32386.094364849607,14214.552533680764,22122.957168806173,18575.304695856372,4554.02977222225,4587.680690229265,3692.3628053971743,6837.668008335277,20510.721822294632,9138.744381772232,4054.8078956178506,1652.0254860127513,8880.236362616766,20311.1238836725,21919.45923447288,34884.30708023221
