Date,요일,place,trend,trend_rate,subway,subway_rate
2016-01-02,금,장충,1720.2742511354265,0.005817466731808001,64085.0,0.05149503129396885
2016-01-02,금,반포,9561.551388074182,0.03233438335072494,40556.0,0.03258847607331202
2016-01-02,금,혜화,33991.241914347236,0.11494848503314932,77123.0,0.06197162048037387
2016-01-02,금,신촌,21406.091256805597,0.07238916914690788,122809.0,0.0986822703937118
2016-01-02,금,강남,35434.957460345,0.11983071073262289,135990.0,0.10927376618033587
2016-01-03,토,홍대,35294.980845615624,0.13944870801978476,140434.0,0.1518156167908068
2016-01-03,토,연남,22964.283663576578,0.09073073878388012,4907.0,0.00530469282077338
2016-01-03,토,이태원,21049.91196717911,0.08316715174299262,40478.0,0.043758580802784774
2016-01-03,토,익선,25687.087794920484,0.10148840203259117,88292.0,0.09544771520923646
2016-01-03,토,을지로,2048.4060306859483,0.008093150007037742,117395.0,0.12690939753305297
2016-01-03,토,성수,2586.638390591017,0.010219679201982046,22369.0,0.02418191842426732
2016-01-03,토,한남,3113.4840251168284,0.012301220013176859,17203.0,0.01859723468428051
2016-01-03,토,청담,5599.025859013043,0.02212147176460993,29141.0,0.03150276207258143
2016-01-03,토,신사,32229.265063615654,0.1273362179514167,83544.0,0.0903149087056636
2016-01-03,토,삼청,10985.331641610097,0.043402497122524496,31663.0,0.034229160135346964
2016-01-03,토,장충,1437.2418482041876,0.005678470820559692,57202.0,0.06183799444342346
2016-01-03,토,반포,8286.476537289707,0.03273945528447146,35325.0,0.03818795066105964
2016-01-03,토,혜화,27499.25595448208,0.10864818799963319,64228.0,0.06943342378085035
2016-01-03,토,신촌,19760.70089663271,0.07807354313788038,97090.0,0.10495875809433207
2016-01-03,토,강남,34561.58714772417,0.13655110611745874,95759.0,0.10351988584154027
2016-01-04,일,홍대,35835.299567252616,0.14093359859529656,167170.0,0.08952124315484064
2016-01-04,일,연남,23313.23027934464,0.09168661844120225,8615.0,0.004613420528677107
2016-01-04,일,이태원,19710.638719112187,0.07751829282417352,39138.0,0.020958798914842095
2016-01-04,일,익선,23227.44852910078,0.09134925469925888,203626.0,0.10904380366481772
2016-01-04,일,을지로,2329.383184208554,0.009161032797891886,307767.0,0.16481237328489465
2016-01-04,일,성수,2717.773120290537,0.010688498509389705,75957.0,0.04067574963397877
2016-01-04,일,한남,2804.948940696774,0.011031344871181407,31311.0,0.016767360438004517
2016-01-04,일,청담,5970.015152364933,0.023478964296425535,106608.0,0.05708967332805677
2016-01-04,일,신사,30717.810342573717,0.12080746093449325,191710.0,0.10266266390629
2016-01-04,일,삼청,9008.492262027155,0.035428732220382175,56811.0,0.03042287099880153
2016-01-04,일,장충,1238.516985472241,0.0048708580029147965,105082.0,0.056272484735281236
2016-01-04,일,반포,8766.516661938223,0.03447708698496873,77918.0,0.04172588517161496
2016-01-04,일,혜화,25611.30055463386,0.10072450336563472,82517.0,0.044188696664521056
2016-01-04,일,신촌,22747.666981453494,0.08946236269985884,158417.0,0.08483392221606981
2016-01-04,일,강남,40271.76372577219,0.15838139075692778,254731.0,0.13641105335930914
2016-01-05,월,홍대,38902.15561561435,0.14884128917666645,172793.0,0.09052773310001938
2016-01-05,월,연남,21646.709953751593,0.08282122584118616,8271.0,0.0043332477616006455
2016-01-05,월,이태원,20985.122604288103,0.08028996472110582,42299.0,0.02216080849570133
2016-01-05,월,익선,23055.07240758575,0.08820968002680853,203725.0,0.10673327290921189
2016-01-05,월,을지로,3018.227993865075,0.01154786768308718,313925.0,0.1644679970451557
2016-01-05,월,성수,3032.0930100793776,0.011600915820269684,77535.0,0.04062125077931399
2016-01-05,월,한남,3462.218224233091,0.013246593042236588,31933.0,0.01672997228523678
2016-01-05,월,청담,7262.9485623088185,0.027788347718293627,108243.0,0.05670943506939169
2016-01-05,월,신사,31484.09662719457,0.1204594824219324,197694.0,0.10357358033875928
2016-01-05,월,삼청,9208.882087635251,0.03523357151060783,59565.0,0.031206613821755828
2016-01-05,월,장충,1573.7397526142472,0.006021194710188646,110557.0,0.057921759494533015
2016-01-05,월,반포,10855.747589555489,0.04153454842377406,79599.0,0.04170259806258612
