,period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
1510,2020-02-19,496329.44515578536,277855.4369762804,226461.94533917593,274668.27491574246,187858.76883983047,197897.51960130388,110296.08082882794,104898.71486537418,267971.9304616089,78558.38214691074,68298.85845367191,56641.23714968071,110056.37476563024,218724.45762675354,192902.55587106544,531180.8775237959
1511,2020-02-20,498463.8923349695,266415.3727147983,224671.807532618,243617.479225121,173714.96809083284,177398.48879930176,106779.80050578155,102725.25409202925,261220.63081282948,74335.46066523553,62898.91331524043,52237.81661074711,111564.37243572435,198035.20582198145,190765.49826695182,500465.95538178494
1512,2020-02-21,452134.9677088367,276687.4643998019,218299.9547023191,190340.25292512093,149628.1744442015,169737.5874140075,102331.90787005276,100461.28248982731,246391.98909250228,59330.57305221183,51163.79540827507,52388.61845296127,101520.90230024379,159268.85029239216,190223.72503916276,487410.5955817398
1513,2020-02-22,439387.9097372281,274441.36329118937,217298.51529169397,172450.68682488933,111458.03457065405,185837.50101081823,101820.99117476135,102363.032868338,238495.36206145503,59570.22559777389,54512.39902379158,47985.197914027674,86923.11321746507,181369.51310998423,212737.57683965503,412895.03370386286
1514,2020-02-23,340657.0683259696,229310.0919407235,577593.584491583,149471.3031044821,86101.90907848386,159832.20280076054,89018.24944913253,76130.81528934518,183822.01414152046,52951.28359078213,54753.717912541644,41922.9571107382,69218.76855229077,138789.75031695882,153232.5139338863,271648.51564649533
1515,2020-02-24,273674.18321686244,157974.46242654682,150155.37553268127,127425.6130502704,86071.71733713876,108210.66179375624,64795.1909856756,67255.90606118568,134905.18736739134,39024.611525779685,34963.959992980635,35468.63376645183,61286.52647260498,88432.6729602738,125752.3696219604,235117.71901832655
1516,2020-02-25,242587.80251158666,150547.43214578577,113625.32186755433,119565.04612744135,80329.56781056465,104380.24023510738,64464.58635090336,66531.41913673737,131017.13569259626,34502.2032575119,33938.25181194046,38213.234041029566,65810.62387509734,88192.36891194295,119431.64404105418,250535.89567695177
1517,2020-02-26,257529.59039569306,159651.55125431088,117811.8228924562,127726.77157431035,87703.66975607994,122604.83805891885,62661.36817425036,67980.39298563398,143495.0722527146,40192.641551634704,38010.84951328986,36584.56964759664,69339.4459470939,86330.63255053991,118980.09050449505,237995.2984675956
1518,2020-02-27,266999.8981943076,154859.8688892708,120816.14112433165,119775.7775729691,84167.71956883052,130026.3745142954,62601.264154077304,61067.633991310904,135598.44522166738,37407.31976189181,38433.20434308083,39148.20096523753,60894.42933170481,84739.22192737328,116752.81320915149,222971.01889759648
1519,2020-02-28,247458.20894345597,171031.71948623,366756.86132095224,117005.0282703157,77398.05628504387,122963.94372179193,66718.58467885427,67316.30591651141,135025.71104884843,33873.24944752351,115782.28822632533,41259.4267562359,63639.05712190101,80595.31501680313,110973.86085603433,236571.687639866
