Date,place,trend,subway,land
2017-11,이태원,12979.831721042841,50233.166666666664,93207
2017-11,익선,10044.695973853952,176319.46666666667,25821
2017-11,장충,1084.2209888710897,104049.3,65597
2017-11,청담,3034.4388925165636,89155.96666666666,143992
2017-11,한남,2707.732397675242,30579.666666666668,78482
2017-11,혜화,10648.37115021444,93957.63333333333,59038
2017-11,홍대,17219.05311674681,182642.93333333332,104653
2017-12,강남,24627.48392075101,206626.61290322582,111360
2017-12,반포,4223.487810407216,117149.80645161291,112995
2017-12,삼청,4424.332383044833,53229.58064516129,92852
2017-12,서촌,3302.926352609094,50971.0,80083
2017-12,성수,4035.0852593548025,68336.32258064517,94953
2017-12,신사,10387.61509573322,174047.48387096773,130376
2017-12,신촌,10397.79427413272,147204.38709677418,27544
2017-12,연남,9230.000041354311,9505.451612903225,60341
2017-12,을지로,2928.9545400498487,266089.0,23055
2017-12,이태원,14006.865584906676,56353.06451612903,99802
2017-12,익선,12856.939790539993,176126.1935483871,25821
2017-12,장충,1308.3200911385754,100797.29032258065,66121
2017-12,청담,3635.592871663893,84177.80645161291,145743
2017-12,한남,3267.1185087449867,29130.74193548387,78715
2017-12,혜화,15020.829386286036,98824.6129032258,59380
2017-12,홍대,22750.63398287197,196216.09677419355,110494
2018-01,강남,24222.06283632658,215429.03225806452,115334
2018-01,반포,3887.781188638837,111586.41935483871,114407
2018-01,삼청,4237.22723193184,47843.93548387097,92852
2018-01,서촌,3065.3957780329197,44619.8064516129,80083
2018-01,성수,3947.156684306405,69012.41935483871,97026
2018-01,신사,11430.285447851838,166638.64516129033,130448
2018-01,신촌,11462.95724463732,130089.70967741935,27568
2018-01,연남,8326.841188973222,8798.709677419354,60341
2018-01,을지로,3100.2237584410414,251243.29032258064,23055
2018-01,이태원,11851.270118208377,46441.967741935485,100201
2018-01,익선,13639.250526360958,166051.03225806452,25821
2018-01,장충,1261.0833176286485,95577.74193548386,67600
2018-01,청담,3213.8795853820543,84365.12903225806,155857
2018-01,한남,3227.21048732376,27608.74193548387,79730
2018-01,혜화,14495.4298419549,81946.58064516129,59582
2018-01,홍대,27076.745036182725,178140.61290322582,112607
2018-02,강남,21147.629550316826,203891.17857142858,117463
2018-02,반포,3961.695284087936,107373.03571428571,116995
2018-02,삼청,4997.27459148476,46990.28571428572,92852
2018-02,서촌,3109.9872716531804,44093.07142857143,80083
2018-02,성수,4574.846772356601,65504.607142857145,98906
2018-02,신사,12592.036032630102,160657.92857142858,131307
2018-02,신촌,11153.208722553349,130228.78571428571,27568
2018-02,연남,9564.546879036474,8721.82142857143,60407
2018-02,을지로,3302.15317645136,240670.7857142857,23055
2018-02,이태원,13493.436121640862,49689.82142857143,104906
2018-02,익선,13463.096529476557,160687.7857142857,25821
2018-02,장충,1150.8402390761485,91882.46428571429,69735
2018-02,청담,3197.3960246752204,78624.14285714286,157235
2018-02,한남,3743.330297543249,26916.464285714286,79863
2018-02,혜화,14010.87936674101,78042.35714285714,59582
2018-02,홍대,28226.056240328966,186788.64285714287,113167
2018-03,강남,19101.832833628756,208841.96774193548,124007
2018-03,반포,3892.163915098618,118728.25806451614,120302
2018-03,삼청,5113.50953343699,54523.1935483871,92852
2018-03,서촌,3364.619787370816,53629.709677419356,80083
2018-03,성수,4792.309668184246,72836.19354838709,100629
2018-03,신사,11900.885596696526,174964.12903225806,134216
2018-03,신촌,9417.017302800165,156200.32258064515,27568
2018-03,연남,10008.822175091891,10156.193548387097,60734
2018-03,을지로,3762.169662362042,271662.3548387097,23055
2018-03,이태원,12735.343242561925,55188.93548387097,117713
2018-03,익선,13037.510730623537,177632.48387096773,25821
2018-03,장충,1290.7722250153379,103807.35483870968,71472
2018-03,청담,3419.628147951708,85703.74193548386,160599
2018-03,한남,3461.018486299949,29750.74193548387,83360
2018-03,혜화,12916.17617442834,87640.06451612903,64852
2018-03,홍대,22844.50050660011,197391.0,112963
2018-04,강남,20858.979965302093,203261.26666666666,126495
2018-04,반포,4074.5362082624893,118413.36666666667,121474
2018-04,삼청,5305.0008110604085,56438.6,92852
2018-04,서촌,3679.6660253831533,55824.333333333336,80083
2018-04,성수,4965.567009768142,74459.3,101326
2018-04,신사,10627.708396241436,171089.2,135269
2018-04,신촌,10315.509964903991,149143.36666666667,27615
2018-04,연남,9206.903319386598,10328.433333333332,61053
2018-04,을지로,4107.958808992425,271733.76666666666,23055
2018-04,이태원,11153.933634152922,52457.53333333333,117830
2018-04,익선,13333.790347683036,172564.43333333332,25869
2018-04,장충,1325.634839372295,104180.53333333334,72398
2018-04,청담,3436.595517228712,85615.53333333334,164408
2018-04,한남,3415.217638157207,29745.866666666665,83715
2018-04,혜화,8770.054667322638,85831.8,64852
2018-04,홍대,20676.10519746342,187605.76666666666,113392
2018-05,강남,21798.389739642633,200501.1935483871,127962
2018-05,반포,4212.774822393073,117743.58064516129,122790
2018-05,삼청,6421.856700813053,57050.58064516129,92852
2018-05,서촌,4093.769863236529,56130.290322580644,80083
2018-05,성수,5981.813921529173,73871.2258064516,101876
2018-05,신사,11489.000621482233,166800.25806451612,135269
2018-05,신촌,9107.51398725908,149624.16129032258,27748
2018-05,연남,11041.720372582016,10411.90322580645,64452
2018-05,을지로,4569.525597920467,264264.2580645161,23055
2018-05,이태원,13255.927755828514,55054.06451612903,117830
2018-05,익선,14755.907921801163,175845.2258064516,25869
2018-05,장충,1345.9411213443952,102903.25806451614,74453
2018-05,청담,3294.3110259648925,82564.41935483871,161749
2018-05,한남,4058.2791560842174,30272.58064516129,85369
2018-05,혜화,10161.200391888886,90358.64516129032,64852
2018-05,홍대,21890.50694939335,195327.70967741936,113392
2018-06,강남,18068.94019387028,198773.46666666667,128934
2018-06,반포,4018.5481596155823,115109.1,123314
2018-06,삼청,4733.991934309092,52546.76666666667,93037
2018-06,서촌,3281.7448072680913,50345.73333333333,80083
2018-06,성수,5575.322712584793,71930.0,103088
2018-06,신사,9898.160896412252,167644.16666666666,137369
2018-06,신촌,7219.018328765642,138279.4,27824
2018-06,연남,9809.236523728685,10189.433333333332,64528
2018-06,을지로,4023.0616986261502,258082.23333333334,23055
2018-06,이태원,11560.914144391054,53986.03333333333,118228
2018-06,익선,11343.331198387348,169515.4,25888
2018-06,장충,1262.136606568412,100756.0,75620
2018-06,청담,3049.0170465225956,82305.96666666666,163266
2018-06,한남,3837.1828323936375,30073.7,85645
2018-06,혜화,8241.245532483805,84792.3,64852
2018-06,홍대,18036.142365977918,187221.46666666667,113392
2018-07,강남,18502.811503043755,217968.67741935485,129858
2018-07,반포,3936.3470339381433,114331.90322580645,124579
2018-07,삼청,3534.572306935405,49280.16129032258,93037
2018-07,서촌,2673.5828216276527,45705.903225806454,80083
2018-07,성수,5240.928791374279,72044.06451612903,104033
2018-07,신사,10315.274745311528,168604.51612903227,138924
2018-07,신촌,8002.308235517557,136567.38709677418,27963
2018-07,연남,10188.211873895374,9617.612903225807,66219
2018-07,을지로,4106.722170470765,256951.7741935484,23055
2018-07,이태원,12106.83081972982,49453.83870967742,118228
2018-07,익선,11856.98830806094,166970.7741935484,25888
2018-07,장충,1322.9541194284136,98217.03225806452,78367
2018-07,청담,3227.144400431551,83511.12903225806,164604
2018-07,한남,4095.2047081535206,29222.58064516129,87271
2018-07,혜화,8577.039117792408,81696.41935483871,64852
2018-07,홍대,19963.272402856328,185680.25806451612,113514
2018-08,강남,17275.45688226125,205460.32258064515,134963
2018-08,반포,3907.714026337145,109931.58064516129,128350
2018-08,삼청,3727.6892400011707,48079.54838709677,93037
2018-08,서촌,3016.994696544429,45742.12903225807,80083
2018-08,성수,5550.5350915660365,68750.6129032258,105659
2018-08,신사,9725.10303078775,161095.7741935484,142115
2018-08,신촌,7380.650554844393,129085.7741935484,27963
2018-08,연남,9896.614807964948,9294.58064516129,66609
2018-08,을지로,4363.7233989287115,251498.0,23055
2018-08,이태원,12035.379758139963,47934.3870967742,120647
2018-08,익선,11763.922761979822,159460.0,25888
2018-08,장충,1415.8736759296582,93934.41935483871,83191
2018-08,청담,3219.1985185586022,80160.54838709677,167368
2018-08,한남,4046.543399333444,27909.16129032258,87806
2018-08,혜화,9261.940396181682,77287.51612903226,65678
2018-08,홍대,19554.760808278563,186591.96774193548,116186
2018-09,강남,13285.920583861092,181686.0,138194
2018-09,반포,3257.528851658849,107729.83333333333,133435
2018-09,삼청,5257.308071980355,50507.933333333334,93037
2018-09,서촌,3285.49089498818,52235.0,80083
2018-09,성수,5172.64514630186,66094.5,106131
2018-09,신사,7897.1684291345155,155342.7,145439
2018-09,신촌,5778.8106733047725,135374.8,27963
2018-09,연남,8863.906134378316,9741.766666666666,67417
2018-09,을지로,4291.51649572141,244449.6,23055
2018-09,이태원,11164.392985640276,50214.63333333333,122601
2018-09,익선,11418.262883703419,160598.56666666668,25888
2018-09,장충,1199.5750826373298,93559.83333333333,84550
2018-09,청담,2579.6668517432363,74743.8,171448
2018-09,한남,3399.171091844679,27899.866666666665,90309
2018-09,혜화,8240.540616156894,80150.56666666667,65678
2018-09,홍대,16149.612643288203,183391.33333333334,119806
2018-10,강남,13513.881630995327,197883.4193548387,139645
2018-10,반포,3166.244184090304,116852.83870967742,137343
2018-10,삼청,5341.953160867523,57374.45161290323,93222
2018-10,서촌,3169.02343747598,56911.67741935484,80083
2018-10,성수,4996.6472887222535,76301.80645161291,111506
2018-10,신사,7896.876793759777,171210.70967741936,145439
2018-10,신촌,5653.10785515763,143614.29032258064,28241
2018-10,연남,8311.314749784127,10620.838709677419,69894
2018-10,을지로,4139.468450261546,271779.51612903224,23564
2018-10,이태원,10569.46214616246,56944.48387096774,122841
2018-10,익선,11056.565589346417,176774.29032258064,25888
2018-10,장충,1224.7572714751172,103579.67741935483,85641
2018-10,청담,2816.328311287823,85414.74193548386,173301
2018-10,한남,3242.2529612325775,30201.1935483871,91536
2018-10,혜화,7718.239894339592,87618.54838709677,66424
2018-10,홍대,15684.87322729924,191856.25806451612,121360
2018-11,강남,14669.22450849507,206819.23333333334,140268
2018-11,반포,3308.5518047647324,120113.7,137812
2018-11,삼청,4090.442042039662,56713.03333333333,93222
2018-11,서촌,2878.862573297633,56808.433333333334,80083
2018-11,성수,4370.860030710956,77741.86666666667,113158
2018-11,신사,8393.310558987714,178877.4,148485
2018-11,신촌,6286.063599111263,152362.26666666666,28241
2018-11,연남,8434.474779799133,10893.0,73111
2018-11,을지로,5042.800554464915,282520.3333333333,23564
2018-11,이태원,25215.22016850029,49440.433333333334,124047
2018-11,익선,11453.0405222547,179221.4,25888
2018-11,장충,1233.8668041279714,105113.8,85884
2018-11,청담,3466.55614569941,89628.16666666667,173333
2018-11,한남,3129.9321166566465,30831.033333333333,91658
2018-11,혜화,8212.869037428592,93222.73333333334,66424
2018-11,홍대,15875.963063773928,194813.76666666666,121360
2018-12,강남,16878.26668649727,202945.61290322582,139515
2018-12,반포,3751.2715912774233,113358.09677419355,138992
2018-12,삼청,3344.7522432115984,48477.0,93222
2018-12,서촌,2679.6247635604627,50143.74193548387,80083
2018-12,성수,4063.501284100636,70380.80645161291,113326
